         398612 function calls (398594 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      198    0.002    0.000    0.298    0.002 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\units\builder.py:75(run)
      198    0.009    0.000    0.190    0.001 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\units\builder.py:108(run_pre)
      198    0.084    0.000    0.167    0.001 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\map_info.py:244(update)
  202/197    0.007    0.000    0.083    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\pathing.py:261(move_to)
      131    0.001    0.000    0.064    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\units\builder.py:311(run_explore)
      202    0.037    0.000    0.052    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\pathing.py:153(a_star)
       66    0.006    0.000    0.032    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\units\builder.py:622(run_sabotage)
      395    0.012    0.000    0.026    0.000 {method 'get_nearby_tiles' of 'builtins.Controller' objects}
    49623    0.014    0.000    0.021    0.000 C:\Users\panti\AppData\Local\Programs\Python\Python313\Lib\enum.py:1308(__hash__)
    18089    0.011    0.000    0.011    0.000 {method 'get_entity_type' of 'builtins.Controller' objects}
    45034    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFA558B28A0}
    18862    0.009    0.000    0.009    0.000 {method 'get_tile_building_id' of 'builtins.Controller' objects}
      202    0.002    0.000    0.009    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\map_info.py:414(get_avoid)
      197    0.004    0.000    0.008    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\units\builder.py:202(run_post)
      217    0.008    0.000    0.008    0.000 {built-in method builtins.print}
    49623    0.007    0.000    0.007    0.000 {built-in method builtins.hash}
    66188    0.007    0.000    0.007    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\pathing.py:161(<lambda>)
    12841    0.006    0.000    0.006    0.000 {method 'get_team' of 'builtins.Controller' objects}
    11816    0.006    0.000    0.006    0.000 <string>:2(__init__)
      196    0.001    0.000    0.005    0.000 C:\Users\panti\PycharmProjects\Cambridge-Battlecode\bots\Artemis_v0_1\pathing.py:100(move)
    11816    0.005    0.000    0.005    0.000 {method 'get_hp' of 'builtins.Controller' objects}
    11816    0.005    0.000    0.005    0.000 {method 'get_max_hp' of 'builtins.Controller' objects}
     3744    0.003    0.000    0.004    0.000 {method 'get_position' of 'builtins.Controller' objects}
    13868    0.004    0.000    0.004    0.000 {method 'get_tile_env' of 'builtins.Controller' objects}
