Combined profile
Timed-out turns: 78297
Total calls: 107530544
Total tottime: 211293885.60 us
Total cumtime: 763766312.60 us

      ncalls   tottime_us   cumtime_us   avg_cum_us  function
          13        30.40        30.40         2.34  ~:0(<method 'build_harvester' of 'builtins.Controller' objects>)
         432       594.40       985.10         2.28  comms_positional.py:get_learn_map_bucket_pos
       78297    151637.00    171435.40         2.19  heal.py:_claimed_enemy_ids
       31956     68686.00     68686.00         2.15  __init__.py:__repr__
          10        21.10        21.10         2.11  ~:0(<method 'build_bridge' of 'builtins.Controller' objects>)
        1391      2892.30      2892.30         2.08  ~:0(<method 'build_road' of 'builtins.Controller' objects>)
      203674    324718.90    414112.90         2.03  random.py:_randbelow_with_getrandbits
         188       192.50       371.10         1.97  comms_positional.py:_learn_map_env_idx
      368434    360669.00    715262.20         1.94  map_info.py:pos_add
        6692     12916.00     12916.00         1.93  disrupt.py:_disruptable_ore
       78297    129516.70    147891.00         1.89  comms_positional.py:start_round_stats
        1732      2125.50      3043.00         1.76  ~:0(<method 'get_bridge_target' of 'builtins.Controller' objects>)
       78297    136111.10    136111.10         1.74  map_info.py:_compute_enemy_turret_threat
         100       171.80       171.80         1.72  ~:0(<method 'build_barrier' of 'builtins.Controller' objects>)
       68578     90554.30    115046.10         1.68  harvest.py:possible_ore
           4         6.60         6.60         1.65  ~:0(<method 'build_foundry' of 'builtins.Controller' objects>)
     1714317   1412176.70   2510658.10         1.46  ~:0(<method 'get_position' of 'builtins.Controller' objects>)
       78297     85662.00    112889.50         1.44  heal.py:_very_damaged_targets
       68372     97897.10     97897.10         1.43  comms.py:encode
        7298     10021.80     10021.80         1.37  ~:0(<method 'can_fire' of 'builtins.Controller' objects>)
      839243   1138817.60   1138817.60         1.36  map_info.py:expand_manhattan
       11823     15780.90     15786.10         1.34  route.py:_trace_resource
       75953    100923.90    100923.90         1.33  attack.py:_my_turret_coverage
      490952    492291.60    626445.00         1.28  map_info.py:has_builder_bot
       63912     77401.00     77401.00         1.21  enum.py:__str__
        2603      3035.70      3035.70         1.17  ~:0(<method 'can_build_barrier' of 'builtins.Controller' objects>)
      221652    185319.40    253730.90         1.14  pathing.py:<genexpr>
      308910    283077.30    347210.30         1.12  map_info.py:is_passable
     3389557   3792338.90   3792338.90         1.12  map_info.py:expand_chebyshev
       86011     94121.40     94121.40         1.09  ~:0(<built-in method math.atan2>)
      406447    439497.90    439497.90         1.08  map_info.py:get_avoid
       68428     73562.40     73562.40         1.08  ~:0(<method 'place_marker' of 'builtins.Controller' objects>)
       68207     72107.80     72107.80         1.06  ~:0(<method 'destroy' of 'builtins.Controller' objects>)
      275630    235898.70    288874.70         1.05  comms_positional.py:note_comm_env
       78297     75526.10     75526.10         0.96  ~:0(<method 'can_heal' of 'builtins.Controller' objects>)
          29        27.80        27.80         0.96  ~:0(<method 'can_build_harvester' of 'builtins.Controller' objects>)
         188       178.60       178.60         0.95  comms_positional.py:_learn_map_env_indices
       13698     12822.70     12822.70         0.94  ~:0(<method 'can_build_road' of 'builtins.Controller' objects>)
       72135     65604.50     65604.50         0.91  ~:0(<method 'can_destroy' of 'builtins.Controller' objects>)
       68372     62023.00     62023.00         0.91  comms.py:get_sym_bits
      235951    145639.40    213375.80         0.90  comms_positional.py:_sample_env_idx
        2011      1817.30      1817.30         0.90  map_info.py:team_at
